,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
9801,2015,86,4.3,101,0,4.3,101,4.8,5.0,09,2545,2170,6233,5514,7214
9802,2014,83,2.8,185,50000000,2.8,185,3.5,3.0,04,5290,1649,6513,5833,5256
9803,2015,103,4.0,117,1000000,4.0,117,7.1,9.0,02,5147,5270,7025,3376,2786
9804,2016,99,2.8,197,0,2.8,197,3.8,2.0,09,4207,4056,2591,6817,6984
9805,2016,90,3.6,3601,1000000,3.6,3601,4.3,3.0,04,1303,2558,4589,3234,7522
9806,2015,72,5.1,213,0,5.1,213,5.4,5.0,02,506,2800,3022,2500,2686
9807,2016,90,3.7,180,450000,3.7,180,4.1,3.0,02,4831,3749,5477,6074,1853
9808,2018,83,3.7,118,0,3.7,118,5.2,5.0,03,3857,4212,3648,5627,7329
9809,2018,93,5.7,2714,0,5.7,2714,7.4,8.0,06,3905,3893,5146,6062,6791
9810,2014,91,4.3,204,20000,4.3,204,6.2,7.0,05,5331,5728,3562,2806,3480
9811,2019,92,3.7,384,0,3.7,384,4.4,4.0,12,5439,2167,5148,4527,1919
9812,2017,90,5.8,305,0,5.8,305,7.2,8.0,04,3205,6869,1879,2719,5326
9813,2018,83,5.4,180,0,5.4,180,5.7,6.0,06,821,1933,1962,3252,5299
9814,2016,86,2.5,228,0,2.5,228,3.2,2.0,07,1006,6792,3461,1137,637
9815,2018,92,3.1,178,800000,3.1,178,4.6,3.0,03,1006,2891,5501,1137,637
9816,2015,91,6.0,1780,400000,6.0,1780,6.5,7.0,07,4640,6962,5810,6550,7232
9817,2016,90,2.8,169,100000,2.8,169,3.5,3.0,09,6328,1929,3398,4591,7189
9818,2016,83,4.4,977,0,4.4,977,4.7,5.0,03,4013,3062,3596,3028,1570
9819,2017,95,3.3,100,0,3.3,100,4.3,3.0,05,4455,2581,5562,2557,2634
9820,2016,90,6.2,586,0,6.2,586,6.4,7.0,11,722,5055,3285,5619,4098
9821,2017,75,6.4,421,0,6.4,421,6.5,7.0,09,722,5557,6575,2734,1828
9822,2014,80,3.3,109,15000,3.3,109,4.9,4.0,05,904,6895,3181,1489,1628
9823,2016,70,5.2,103,0,5.2,103,5.7,6.0,10,904,1893,7556,1489,5555
9824,2016,85,4.8,563,0,4.8,563,6.2,7.0,04,773,6720,6307,788,1054
9825,2017,81,2.4,357,0,2.4,357,2.9,2.0,12,773,5164,5437,788,1054
9826,2017,91,3.4,231,0,3.4,231,4.2,3.0,04,5907,2778,3989,3455,5779
9827,2015,82,4.6,469,0,4.6,469,5.5,5.0,08,2792,3986,2091,2503,2116
9828,2016,79,6.1,363,0,6.1,363,6.5,7.0,10,3678,5315,765,2884,6057
9829,2017,93,6.4,148,6000,6.4,148,8.2,9.0,12,4116,4910,765,4365,2901
9830,2016,90,4.4,210,0,4.4,210,5.1,5.0,08,1465,3113,6750,3472,6947
9831,2016,93,5.9,172,0,5.9,172,6.6,7.0,02,2982,3934,7630,4557,3151
9832,2015,90,3.6,412,0,3.6,412,4.0,4.0,10,598,1644,7423,2534,5810
9833,2015,94,6.2,415,0,6.2,415,7.3,8.0,05,5752,3199,1944,6873,4671
9834,2015,88,3.9,382,125000,3.9,382,5.3,5.0,07,2509,4271,7034,2791,5378
9835,2014,84,2.9,208,10000,2.9,208,3.2,3.0,12,3666,2693,3467,3563,6959
9836,2016,90,5.8,14557,0,5.8,14557,6.1,6.0,02,4238,2448,6065,3594,708
9837,2015,84,3.3,6001,1000000,3.3,6001,4.3,4.0,07,1194,6511,1190,4607,708
9838,2016,88,3.8,329,46094,3.8,329,4.3,4.0,02,3899,6236,3246,2147,4256
9839,2015,105,7.1,191,0,7.1,191,7.5,8.0,03,1885,5867,6489,3130,3722
9840,2019,91,7.3,2189,1,7.3,2189,8.4,9.0,03,4842,4001,6112,5753,6303
9841,2016,82,2.9,322,0,2.9,322,3.5,2.0,03,2278,2176,1609,5166,5592
9842,2015,91,4.0,142,0,4.0,142,4.5,3.5,05,2674,5546,6358,1731,3762
