,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
100,tt7385836,Sunset Society,Sunset Society,2018,2018-07-27,Horror,90,USA,Cleopatra Records,2.7,118,0,2.7,118,3.4,3.0,2.9,Lemmy,Phoebe Dollar,0,07,6068,3322,4375,0
101,tt7438370,The S.S. Swenson,The S.S. Swenson,2019,2019-01-28,"Comedy, Drama",89,USA,An Olivetree Production,7.6,364,0,7.6,364,8.9,10.0,6.7,Evan Brandon,Victor G. Oliveira,0,01,2512,6189,5870,0
102,tt8021048,Survive The Hollow Shoals,Survive The Hollow Shoals,2018,2018-01-01,Horror,78,USA,The Public Eye,5.2,250,100000,5.2,250,5.6,6.0,5.4,Brent McGhee,Jonathon Klimek,0,01,6190,2110,1830,0
103,tt0410751,Thanks to Gravity,Thanks to Gravity,2006,2006-06-13,"Comedy, Drama, Romance",96,USA,0,5.6,173,0,5.6,173,6.0,6.0,6.0,Gina Philips,Jessica Kavana Dornbusch,Jessica Kavana Dornbusch,06,0,3500,2048,5468
104,tt0419491,Believe in Me,Believe in Me,2006,2006-02-06,"Drama, Sport",131,USA,0,7.1,924,0,7.1,924,7.3,7.0,7.4,Jeffrey Donovan,Robert Collector,Robert Collector,02,0,5708,4815,4703
105,tt0424867,Bristol Boys,Bristol Boys,2006,2006-11-13,"Crime, Drama",88,USA,0,5.7,362,500000,5.7,362,6.0,6.0,5.9,Will Janowitz,Brandon David,Brandon David,11,0,5492,4363,2902
106,tt0425132,Inside,Inside,2006,2008-02-26,"Drama, Horror, Thriller",99,USA,0,5.4,612,0,5.4,612,5.9,6.0,6.0,Nicholas D'Agosto,Jeff Mahler,Jeff Mahler,02,0,342,4880,7356
107,tt1083456,Fired Up! - Ragazzi pon pon,Fired Up!,2009,2009-02-20,"Comedy, Sport",90,USA,Screen Gems,6.1,41679,20000000,6.1,41679,6.4,6.0,6.3,Nicholas D'Agosto,Will Gluck,Will Gluck,02,10,342,253,1369
108,tt1823664,Annie - La felicità è contagiosa,Annie,2014,2015-04-02,"Comedy, Drama, Family",118,USA,Marcy Media,5.3,33381,65000000,5.3,33381,5.8,6.0,6.0,Jamie Foxx,Will Gluck,Will Gluck,04,4326,61,253,1369
109,tt1282140,Easy Girl,Easy A,2010,2011-03-04,"Comedy, Drama, Romance",92,USA,Screen Gems,7.0,350390,8000000,7.0,350390,7.2,7.0,7.4,Emma Stone,Will Gluck,Bert V. Royal,03,10,955,253,2041
